,Curso Recomendado,Curso Recomendado Predicción
Curso Modular en Tecnologías Digitales.,6,1.0
Curso TIC para Docentes.,12,48.0
Curso Virtual de Tecnología de la Información y Comunicación.,3,9.0
Cursos de TIC y Herramientas para el Aula (TIC 2).,2,0.0
Definición y principios básicos de la pedagogía.,4,0.0
Estrategias de Aprendizaje.,4,0.0
Evaluación Formativa y Retroalimentación Constructiva.,3,0.0
Formación Continua en Educación Virtual con TIC.,11,0.0
Formación Docente Continua: Innovaciones Pedagógicas.,7,3.0
Fundamentos de TIC y Educación.,6,1.0
Fundamentos de la Docencia en Línea para la Formación de Tutores.,3,0.0
Fundamentos de la Docencia en Línea.,4,9.0
Gestión del Aula Virtual con Microsoft Teams.,4,5.0
Herramientas Tecnológicas para Docentes de Educación Superior.,5,1.0
Integración de TIC en Proyectos Educativos.,6,4.0
Maestría en Enseñanza del Inglés.,4,0.0
Metodologías Ágiles para la Educación con TIC.,3,0.0
Metodologías Ágiles para la Educación.,20,40.0
Métodos tradicionales vs. métodos activos.,5,0.0
Pedagogía Activa: Innovaciones y Mejores Prácticas,6,7.0
Potenciando la Investigación Educativa y Escritura Académica.,3,0.0
Psicopedagogía y Aprendizaje.,3,10.0
TIC y Aprendizaje Activo.,10,0.0
Técnicas para dar retroalimentación efectiva a los estudiantes.,10,10.0
Uso de tecnologías en el aula y su impacto en el aprendizaje.,4,0.0
